Club	Budget	Revenus	Masse salariale
QNL	-172	250	532
MDH	249	150	177
KH	5	320	671
MRT	372	160	271
BIL	340	120	162
TA	-187	220	792
AHK	335	130	294
KHR	-3398	280	806
AES	405	180	251
MDL	-3083	600	1319
DKW	780	170	558
TO	-698	230	918
SN	3620	250	544
CPH	249	100	224
PRG	813	200	260
DKF	-531	250	420
KKR	245	120	222
MSL	-1482	180	664
TLB	-1410	130	351
HTH	-1154	270	785
EKR	204	150	145
AL	1156	260	444
BSK	-276	180	360
KAK	811	200	702
FS	-444	250	813
MRB	865	310	777
ERE	7	130	149
BRB	-718	330	733
ED	-482	290	649
GP	-712	280	443
FST	338	150	164
MAG	237	140	204
APA	-156	250	513
CAT	876	200	217
KIS	-51	150	200
ALT	-1623	400	829
vide	-2839	0	2587
